abort	中断	
toolbar	ツールバー	
toolbox	ツールボックス
tooling	ツール	
toolkit	ツールキット	
tools	ツール	
tooltip	ツールチップ	
top down	トップ・ダウン
top level	トップ・レベル	
top-level	トップレベル	
topic	トピック	
total	合計	
touchpoint	タッチポイント	
trace	トレース	
tracing	トレース	名詞的に使用する場合
trailing	末尾
transaction	トランザクション	
transfer	転送
transient	一時的	
transition	遷移
translate	変換
translator	トランスレーター
transport	トランスポート
tree	ツリー	
trigger	トリガ
trigger	トリガー	
truncate	切り捨てる	
trunk	トランク	ソース・コード管理用語
try again	再試行	
tunnel	トンネル
turn on	オンにする	
type	型	プログラミング言語用語
type	入力	動詞
type	タイプ
type	タイプ	
type hierarchy	型階層	
type parameter	型パラメーター
type parameters	型パラメーター	
type safety	型の安全性	
types	型	
types	タイプ	
typically	通常	
udpater	アップデーター	
unavailable	使用不可	
unavailable	使用できません	
unchecked	未検査	【例】unchecked exception=未検査例外
unclassified	分類外	
uncomment	コメント解除
uncomment	コメント解除	
undefined	未定義
underlined	下線付き	
underlying	基底	
underlying	基礎	
undesirable	有害な	
undo	取り消し
undo	元に戻す	メニュー項目など。
undone	元に戻す
unexpected	予期しない
unexport	アンエクスポート	
unimplemented	未実装の	
uninstall	アンインストール	
unique	一意	データベース用語
unique	固有の	
unique identifier	固有 ID	
uniquely	一意的に
unit	単位	
units	単位	
universal	汎用
unknown	不明な	
unlimited	無制限	
unlocked	アンロック
unnecessary	不要な	
unrecognized	認識されない	
unresolvable	解決不可能な
unresolved	未解決
unsafe	安全でない	
unselected	未選択	
unshared	未共用	
unspecified	未指定の	主に限定用法。【例】unspecified error=未指定のエラー
unspecified	指定されていない	叙述用法の場合。【例】name unspecified=名前が指定されていません
unused	未使用の	
unversioned	バージョン管理外
update	更新
update	更新	
update site	更新サイト
upgrade	アップグレード	
upload	アップロード
upper bound	上限
uppercase letter	大文字	
usage	使用
usage	使用率	【例】CPU usage=CPU使用率
usage	使用例	【例】usage example=使用例
use	使用
use	使用	
usecase	ユースケース	
user	ユーザ
user	ユーザー
user action	ユーザー・アクション
user interaction	ユーザー対話	
user-defined	ユーザー定義	形容詞
username	ユーザ名
utility	ユーティリティー
valid	有効な
validate	検証	動詞
validation	検証
validator	バリデーター
validity	妥当性
validity	有効期間
value	値
value	値	
var	変数	
variable	変数	
variable	変数	Basic
variables	変数	
various	さまざまな	
vars	変数	
vendor	ベンダー	
verify	検証する	
version	バージョン
version	バージョン
versioned	バージョン管理対象の	形容詞
via	経由	
video	ビデオ
video	ビデオ	
view	表示	
view	ビュー
view	ビュー	Eclipse用語。データベース用語。
viewer	ビューアー
violation	違反	
virtual	仮想
virtual	仮想	
visibility	可視性	プログラム言語上のスコープ
visibility	表示と非表示	画面の表示切替など
visible	可視	プログラミング言語用語。
visible	表示する	形容詞
visual	ビジュアル
visualiser	ビジュアライザー	
vulnerability	脆弱性	
wait	待機
warning	警告
warning	警告
watcher	ウォッチャー	
watchpoint	監視ポイント	
well formed	適切に書式化された
were found	見つかりました	
whenever	ときは常に
white space	空白文字	
whitespace	空白
widget	ウィジェット
width	幅
width	幅	
wild card	ワイルド・カード	
wildcard	ワイルドカード	
window	ウィンドウ	
windowing system	ウィンドウ操作システム	
with respect to	関して
wizard	ウィザード
wizards	ウィザード	
word wrap	ワード・ラップ	
work with	～で作業	
workbench	ワークベンチ	Eclipse用語
workflow	ワークフロー
working copy	作業用コピー	
working directory	作業ディレクトリー	
working set	ワーキング・セット
workspace	ワークスペース	
would you like to	しますか	
wrap	折り返し	名詞
wrap	折り返す	動詞
writable	書き込み可能
write	書き込み	
wrong	不正な	
yield	もたらす	
zero	ゼロ	
